Current (A),CosPhi (Units),Energy Consumption (kWh),Reactive Energy (VARh),Voltage (V)
16.63331,0.96235,1.4734,2317.92433,222.57487
27.2001,0.94198,2.81463,3857.52533,221.48805
56.0629,0.90296,6.56756,7685.95705,220.46934
23.62541,0.96703,2.58848,2949.64414,219.26041
57.44377,0.94174,7.22775,6855.2071,220.00071
5.00816,0.99557,0.62064,588.50461,219.96142
125.11693,0.90256,15.61304,14210.31582,219.54849
177.48236,0.87693,21.98332,19747.79142,219.05653
224.49595,0.85188,28.16829,24930.01566,220.87245
46.16237,0.94432,5.44639,5518.86068,220.47154
26.26225,0.92035,2.89588,3828.59631,218.72513
1.07282,0.99793,0.34537,158.74465,221.05883
34.42037,0.94367,3.89926,4509.51133,220.90012
15.01425,0.97957,1.60652,1876.04525,220.96884
47.62732,0.89242,4.755,7147.37186,221.91396
12.96427,0.97747,1.52411,1761.48688,222.55993
40.65669,0.90828,4.46237,5870.22214,224.11459
28.93171,0.90254,3.15315,4700.88818,222.7987
16.42728,0.95073,1.74728,2551.54536,223.30351
30.99183,0.89624,2.72963,5052.50747,223.30069
39.34596,0.87786,3.47411,6392.10712,222.18494
25.10575,0.93988,2.69405,3578.00634,222.59539
16.68452,0.95855,1.89474,2664.27683,222.72929
22.97044,0.93108,2.68353,3623.81654,223.14384
32.93816,0.92605,2.72773,4851.63937,222.47476
13.25203,0.97701,1.41997,1713.43281,221.60382
12.11973,0.9811,1.46739,1620.91268,220.51286
0.0,1.0,0.02906,0.0,219.6734
2.66591,0.99127,0.53796,391.53723,219.1986
30.3883,0.97077,3.62613,3614.89041,220.79343
5.71465,0.99132,0.6725,728.21745,219.78467
1.73398,0.99118,0.19088,292.68598,219.44918
63.79437,0.94639,7.60953,7510.6165,221.88194
19.29671,0.97619,2.17792,2335.45293,220.70336
6.26576,0.99246,0.56597,765.30999,219.62984
0.0,1.0,0.00234,0.0,221.45001
15.44176,0.9797,1.64864,1997.82357,220.58904
12.71068,0.9724,1.32248,1763.35772,221.07012
5.96474,0.9884,0.85487,852.33837,221.80548
15.94939,0.94763,1.42079,2578.29082,223.42353
20.20969,0.94756,2.1257,3003.31064,222.35275
28.21773,0.93167,2.4915,4080.06409,222.79763
38.8721,0.89751,4.09077,5919.84529,223.0883
27.52276,0.93608,2.3654,4098.88194,222.83379
33.16871,0.91833,3.33554,4900.91685,223.38879
21.17945,0.93735,2.12717,3342.79979,224.05711
8.30795,0.97866,1.14624,1296.31868,222.9883
8.64243,0.98311,1.27113,1210.56859,221.40816
24.50702,0.92898,2.17916,3752.95194,222.20668
36.16542,0.90239,3.39212,5254.17106,221.89989
30.06171,0.95338,3.05836,3934.26701,221.22294
34.63681,0.96458,4.17828,4017.07646,219.64971
2.80349,0.99545,0.25892,361.64266,219.47976
11.5752,0.97811,1.23551,1586.10793,219.4373
8.63658,0.98776,0.67548,1102.48946,220.2247
5.29115,0.9885,0.30759,931.59277,220.24873
7.77023,0.99001,0.99993,978.02286,221.45753
23.50709,0.96872,2.63978,2840.79693,220.34711
10.96333,0.98676,1.46914,1376.31917,221.23568
3.09781,0.99684,0.37733,378.37023,219.97885
5.4379,0.98453,0.67279,824.35851,221.28415
22.56295,0.95467,2.68933,3117.33688,221.52663
29.96349,0.936,2.68117,4226.01479,222.10088
6.25607,0.98761,0.67295,810.07779,222.24357
15.80296,0.97158,1.56108,2176.94961,223.69914
14.38216,0.96581,1.50963,2124.19388,222.81443
17.62167,0.95934,2.07744,2586.35559,223.08424
55.56929,0.86798,5.02949,8026.41723,222.6687
42.48988,0.89308,3.76308,6500.89405,221.53275
26.52165,0.94095,2.449,3893.55352,222.59829
17.20342,0.95208,1.89031,2657.86339,222.44485
12.53925,0.9682,1.22502,1874.28417,222.90401
11.4854,0.96656,1.28997,1604.20156,223.10656
20.47469,0.95906,1.88903,2842.95854,221.91306
30.85927,0.95056,3.66971,3944.63051,221.17165
5.25347,0.99138,0.30789,786.59664,219.90228
12.87135,0.97539,1.18524,1764.43301,219.89155
2.12283,0.99646,0.30189,226.74673,221.35348
30.99257,0.96664,3.67228,3698.35275,219.04236
26.17324,0.96744,2.58921,3432.28607,220.15146
7.65434,0.9828,0.6725,1114.66343,221.79793
0.0,1.0,0.01875,0.0,220.42148
30.64557,0.96893,3.62895,3580.34895,219.8957
6.17693,0.98635,0.65803,836.04969,221.51439
12.22375,0.9776,1.61088,1562.81327,221.62388
15.30758,0.97599,1.56093,2027.36154,221.95476
29.12792,0.92589,3.15947,4391.7709,222.15985
18.93931,0.96188,1.94457,2575.5422,222.8556
30.21201,0.93292,2.92323,4365.59601,223.53104
24.78797,0.93417,2.68663,3708.06337,222.32013
13.57489,0.97189,1.37832,1943.00496,222.84561
22.67662,0.92907,2.87062,3875.99203,222.22654
9.12683,0.98489,0.67485,1180.56429,222.8346
8.74577,0.97739,1.2272,1325.80727,223.24631
13.15226,0.96664,1.37668,1960.13304,223.3416
10.56842,0.98574,1.01071,1354.09989,223.49159
16.94307,0.96631,1.37328,2596.4558,223.3779
8.78184,0.98227,1.091,1217.84336,221.96358
20.54724,0.95337,2.21957,2838.55308,221.2254
43.1969,0.96013,5.45113,5146.53081,220.26585
0.0,1.0,0.01734,0.0,219.97061
6.08899,0.99671,0.71793,659.22238,220.40209
7.81588,0.99079,0.75146,962.02496,220.02249
9.61489,0.98574,1.13855,1187.52086,220.87987
17.59575,0.97268,1.93741,2486.09987,222.21002
34.46674,0.94018,3.76357,4547.49812,221.64164
3.36293,0.9917,0.39202,434.93895,221.57339
5.01663,0.98918,0.58118,702.51436,222.13138
20.34977,0.95547,2.21857,2815.54921,222.54114
16.48268,0.97042,1.60623,2469.07601,222.94256
23.5476,0.93575,2.44463,3626.47734,222.74677
6.5422,0.98767,0.63123,915.75396,224.17063
43.83155,0.89692,3.99257,6644.19484,223.35613
45.3128,0.87319,4.13421,6934.01704,223.23431
23.92384,0.93006,2.78385,3647.12761,223.23166
26.59565,0.92004,2.50114,4098.1742,222.92182
21.10032,0.92863,2.22287,3645.56404,223.77629
13.76926,0.96604,1.09357,2235.95976,223.8678
10.3519,0.9721,1.04118,1439.22454,222.02866
16.62431,0.96158,1.52137,2456.41925,222.43512
31.3603,0.92829,2.91246,4533.26679,222.59721
33.29374,0.90899,3.05733,5036.46568,222.55914
20.96641,0.9628,2.35565,2826.93866,222.44803
26.12963,0.94718,2.44986,3992.53644,221.90036
23.3422,0.95807,2.82684,3060.23598,222.31977
29.20092,0.94187,3.66831,4080.14637,222.01978
24.8068,0.969,2.63739,3115.33439,222.39156
23.52002,0.95827,2.8217,3100.88909,221.87056
52.14296,0.86772,5.35345,7639.71882,222.01168
36.84946,0.88795,3.67335,5895.32171,221.70063
32.93854,0.91288,3.29876,5168.41003,222.59221
33.05441,0.91868,3.57087,4913.39807,222.29078
34.69971,0.90672,3.57349,5413.99653,222.78592
32.83463,0.91274,3.34446,4984.42854,221.40583
28.60345,0.91765,2.78557,4453.41441,222.70293
35.73427,0.91282,3.62107,5246.48483,221.45203
5.16796,0.98191,0.96086,841.33297,223.02105
10.29901,0.97939,0.85277,1583.64458,223.75489
6.39355,0.9853,0.80938,1144.49766,223.81479
16.33702,0.97166,1.3745,2316.21808,222.64052
26.60843,0.94005,2.45077,4173.84056,223.05924
45.76443,0.88983,4.75256,6738.71201,223.0855
30.547555,0.92831,3.25276,4487.031405,223.01965
15.33068,0.96679,1.75296,2235.3508,222.9538
16.66051,0.94739,1.9777,2644.71286,222.81726
25.66628,0.94234,2.30257,4001.17728,223.43202
